Dia,Tienda,Clave Producto,Producto,Piezas,Ventas Monto,Existencias,Inventario Monto
2016/09/06,104 MUNDO E,11956023350,TMT CAPARAZON DE TORTUGAS,0,0,3,1587
2016/09/06,103 INSURGENTES,11956026221,KNS ACK KINETIC SAND DOG DINO AST MX MML4PK,0,0,2,578
2016/09/06,102 SAN COSME,11956027926,DNG SET CREATIVO,0,0,6,1194
2016/09/06,101 GALERÍAS QUERETARO,11956028637,MEC NEW 25 MODELS SET,0,0,4,5396
2016/09/06,176 VIA VALLEJO,11956027870,DNG SET CON VIDA,0,0,3,1947
2016/09/06,101 GALERÍAS QUERETARO,11956020370,BGM HEDBANZ ACTUALO,0,0,27,10503
2016/09/06,175 GALERIAS TOLUCA,11956027389,PAW SET CACHORROS METALICOS,0,0,8,9912
2016/09/06,123 GALERIAS GUADALAJARA,11956024266,PAW VEHICULO BASICO,1,399,0,0
2016/09/06,174 GOURMETERIA,11956027991,SFP FIG ACCION,0,0,10,1590
2016/09/06,173 GALERIAS SERDAN,11956028759,TMT MOV2 ARMAS,0,0,0,0
2016/09/06,173 GALERIAS SERDAN,11956019459,TMNT FIGURAS DE 6  CON SONIDO,0,0,6,2454
2016/09/06,149 LEÒN PLAZA MAYOR,11956027341,DGB DIGIBIRD 2 EN 1 STAND DE ARBOL,0,0,4,2196
2016/09/06,172 GALERIAS MAZATLAN,11956023814,BGM BIGOTAZO,0,0,6,1614
2016/09/06,148 GRAN PLAZA MERIDA,11956028574,AGB SPEEDSTERS,0,0,4,356
2016/09/06,171 TECAMACHALCO,11956024977,MDL SET MULTIMODAL 5 MODELOS,0,0,7,2583
2016/09/06,148 GRAN PLAZA MERIDA,11956019660,TMNT MEGAFIGURAS DE BATALLA 11,0,0,3,2097
2016/09/06,170 METROPOLI PATRIOTISMO,11956026466,KNS KINETIC SAND SET CONSTRUCCION HELADOS,0,0,2,598
2016/09/06,147 MONTEJO,11956020699,BGM HIJOS CONTRA PADRES,0,0,10,2790
2016/09/06,169 GALERIAS CAMPECHE,11956026759,SC KIT DE TELAS JUMBO,0,0,3,777
2016/09/06,146 ALTABRISA TABASCO,11956024266,PAW VEHICULO BASICO,0,0,18,7182
2016/09/06,168 OAXACA,11956027989,SFP PELUCHE DE LUJO CON SONIDO,0,0,2,1858
2016/09/06,145 XALAPA LAS ANIMAS,11956026125,TMT MUTATIONS MEZCLA Y COMBINA,0,0,5,1195
2016/09/06,167 TECNOLOGICO METEPEC,11956028761,TMT MOV2 FIGURA 6,0,0,20,8380
2016/09/06,144 XALAPA LAS AMERICAS,11956026608,DIBUJAZO,0,0,1,279
2016/09/06,167 TECNOLOGICO METEPEC,11956024157,PELUCHE LANZABLE DE CHIMUELO,0,0,1,245
2016/09/06,143 CORDOBA,11956027870,DNG SET CON VIDA,0,0,6,3894
2016/09/06,166 PLAZA CRYSTAL,11956026125,TMT MUTATIONS MEZCLA Y COMBINA,0,0,4,956
2016/09/06,142 URUAPAN AGORA,11956028583,AGB FIG ACCION LUJO SONIDO,0,0,2,818
2016/09/06,165 SAN JUAN DEL RIO,11956026609,PAW CAMION PAW PATROLLER,0,0,2,4358
2016/09/06,142 URUAPAN AGORA,11956019457,FIGURAS BASICAS 5,0,0,2,270
2016/09/06,164 LEON SUR,11956027926,DNG SET CREATIVO,0,0,12,2388
2016/09/06,141 LAS AMERICAS BOCA DEL RIO,11956020370,BGM HEDBANZ ACTUALO,0,0,16,6224
2016/09/06,163 ANTEA QUERETARO,11956028583,AGB FIG ACCION LUJO SONIDO,0,0,6,2454
2016/09/06,140 PALMAS,11956024269,PAW PELUCHE BASICO 8,0,0,37,11433
