04-11-2015@11:57:53 INFO  (WalmartDownload.java:66)     - [-]Termina ejecución del portal Walmart Cesarfer
04-11-2015@11:57:53 INFO  (WalmartInsert.java:45)     - INSERT; Se ejecuta Walmart insert
04-11-2015@11:57:53 INFO  (Utileria.java:227)     - old date: Tue Nov 03 11:57:53 CST 2015
04-11-2015@11:57:53 INFO  (Utileria.java:227)     - old date: Mon Nov 02 11:57:53 CST 2015
04-11-2015@11:57:53 INFO  (Utileria.java:227)     - old date: Sun Nov 01 11:57:53 CST 2015
04-11-2015@11:57:53 INFO  (Utileria.java:227)     - old date: Sat Oct 31 11:57:53 CST 2015
04-11-2015@11:57:53 INFO  (Utileria.java:227)     - old date: Fri Oct 30 11:57:53 CST 2015
04-11-2015@11:57:53 INFO  (Utileria.java:227)     - old date: Thu Oct 29 11:57:53 CST 2015
04-11-2015@11:57:53 INFO  (Utileria.java:227)     - old date: Wed Oct 28 11:57:53 CST 2015
04-11-2015@11:57:53 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
04-11-2015@11:57:53 INFO  (Utileria.java:267)     - RENAME: El archivo 11-03-2015 existe
04-11-2015@11:57:53 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 11-03-2015 correctamente cambiado
04-11-2015@11:57:55 INFO  (WalmartInsert.java:103)     - READ: El archivo 11-03-2015 existe
04-11-2015@11:57:55 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_11-03-2015.csv
04-11-2015@11:58:13 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
04-11-2015@11:58:13 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
04-11-2015@11:58:13 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
04-11-2015@11:58:13 INFO  (Utileria.java:267)     - RENAME: El archivo 11-02-2015 existe
04-11-2015@11:58:13 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 11-02-2015 correctamente cambiado
04-11-2015@11:58:15 INFO  (WalmartInsert.java:103)     - READ: El archivo 11-02-2015 existe
04-11-2015@11:58:15 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_11-02-2015.csv
04-11-2015@11:58:28 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
04-11-2015@11:58:28 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
04-11-2015@11:58:29 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
04-11-2015@11:58:29 INFO  (Utileria.java:267)     - RENAME: El archivo 11-01-2015 existe
04-11-2015@11:58:29 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 11-01-2015 correctamente cambiado
04-11-2015@11:58:31 INFO  (WalmartInsert.java:103)     - READ: El archivo 11-01-2015 existe
04-11-2015@11:58:31 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_11-01-2015.csv
04-11-2015@11:58:44 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
04-11-2015@11:58:44 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
04-11-2015@11:58:45 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
04-11-2015@11:58:45 INFO  (Utileria.java:267)     - RENAME: El archivo 10-31-2015 existe
04-11-2015@11:58:45 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 10-31-2015 correctamente cambiado
04-11-2015@11:58:47 INFO  (WalmartInsert.java:103)     - READ: El archivo 10-31-2015 existe
04-11-2015@11:58:47 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_10-31-2015.csv
04-11-2015@11:59:02 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
04-11-2015@11:59:02 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
04-11-2015@11:59:03 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
04-11-2015@11:59:03 INFO  (Utileria.java:267)     - RENAME: El archivo 10-30-2015 existe
04-11-2015@11:59:03 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 10-30-2015 correctamente cambiado
04-11-2015@11:59:05 INFO  (WalmartInsert.java:103)     - READ: El archivo 10-30-2015 existe
04-11-2015@11:59:05 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_10-30-2015.csv
04-11-2015@11:59:19 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
04-11-2015@11:59:19 INFO  (WalmartInsert.java:240)     - [+]Comienza Inserción de datos Walmart-Cesarfer
04-11-2015@11:59:20 INFO  (WalmartInsert.java:68)     - INSERT: Comienza insersión de portal Walmart Cesarfer venta diaria
04-11-2015@11:59:20 INFO  (Utileria.java:267)     - RENAME: El archivo 10-29-2015 existe
04-11-2015@11:59:20 INFO  (Utileria.java:270)     - UTIL: Extencion de archivo walmart con fecha 10-29-2015 correctamente cambiado
04-11-2015@11:59:22 INFO  (WalmartInsert.java:103)     - READ: El archivo 10-29-2015 existe
04-11-2015@11:59:22 INFO  (WalmartInsert.java:123)     - LOAD: procesando archivo: C:\Users\Aldo\Documents\ProyectosJava\FilesData\cesarfer\walmart\walmart_10-29-2015.csv
04-11-2015@11:59:33 INFO  (WalmartInsert.java:206)     - LOAD: Registros de datos de CSV Walmart Cesarfer a BD exitoso
